LLM,LLM Name,Evaluator,Accuracy,Relevance,Depth,Clarity,Originality,openAI scores if evaluato=openAI otherwise Anthropic claude,Standard Deviation,claude scores - average,claude scores - standard deviation,overall average scores
G,Gemma 2 - 9B,openAI o1-preview,7,7,6,7,7,6.8,0.4,6.4,0.49,6.6
E,Code Llama Instruct 34B,openAI o1-preview,7,8,7,8,7,7.4,0.49,7,0.63,7.2
J,Claude Opus,openAI o1-preview,8,8,7,8,7,7.6,0.49,7.4,0.49,7.5
L,Gemini,openAI o1-preview,8,8,7,8,7,7.6,0.49,7.8,0.4,7.7
B,Llama-3.2-90B-Vision-Instruct-Turbo,openAI o1-preview,8,8,8,9,8,8.2,0.4,7.4,0.49,7.8
H,Meta-Llama-3.1-8B-Instruct-Turbo,openAI o1-preview,8,8,8,8,8,8,0,7.8,0.4,7.9
M,Meta AI,openAI o1-preview,8,8,8,8,7,7.8,0.4,8.4,0.49,8.1
F,Gemma 2 - 27B,openAI o1-preview,8,8,8,8,9,8.2,0.4,8.4,0.49,8.3
D,Llama-3.2-3B-Instruct-Turbo,openAI o1-preview,9,9,8,9,9,8.8,0.4,8.2,0.4,8.5
A,Llama-3.2-11B-Vision-Instruct-Turbo,openAI o1-preview,9,9,8,9,8,8.6,0.49,8.6,0.49,8.6
N,openAI o1-preview,openAI o1-preview,9,9,9,9,9,9,0,8.4,0.49,8.7
C,Qwen2.5-7B-Instruct-Turbo,openAI o1-preview,9,9,9,9,9,9,0,8.8,0.4,8.9
K,Claude Haiku 3.5,openAI o1-preview,9,9,9,9,9,9,0,8.8,0.4,8.9
P,GPT-4o,openAI o1-preview,9,9,9,9,9,9,0,8.8,0.4,8.9
I,Claude Sonnet New,openAI o1-preview,9,9,9,9,9,9,0,9,0.63,9
O,openAI o1-mini,openAI o1-preview,9,9,9,9,9,9,0,9,0,9
A,Llama-3.2-11B-Vision-Instruct-Turbo,Anthropic Claude 3.5 New Nov 2024,9,8,9,9,8,8.6,0.49,N/A,N/A,N/A
B,Llama-3.2-90B-Vision-Instruct-Turbo,Anthropic Claude 3.5 New Nov 2024,7,8,7,8,7,7.4,0.49,N/A,N/A,N/A
C,Qwen2.5-7B-Instruct-Turbo,Anthropic Claude 3.5 New Nov 2024,9,9,9,9,8,8.8,0.4,N/A,N/A,N/A
D,Llama-3.2-3B-Instruct-Turbo,Anthropic Claude 3.5 New Nov 2024,8,8,8,8,9,8.2,0.4,N/A,N/A,N/A
E,Code Llama Instruct 34B,Anthropic Claude 3.5 New Nov 2024,7,7,7,8,6,7,0.63,N/A,N/A,N/A
F,Gemma 2 - 27B,Anthropic Claude 3.5 New Nov 2024,8,8,8,9,9,8.4,0.49,N/A,N/A,N/A
G,Gemma 2 - 9B,Anthropic Claude 3.5 New Nov 2024,6,7,6,7,6,6.4,0.49,N/A,N/A,N/A
H,Meta-Llama-3.1-8B-Instruct-Turbo,Anthropic Claude 3.5 New Nov 2024,8,8,8,8,7,7.8,0.4,N/A,N/A,N/A
I,Claude Sonnet New,Anthropic Claude 3.5 New Nov 2024,9,9,10,9,8,9,0.63,N/A,N/A,N/A
J,Claude Opus,Anthropic Claude 3.5 New Nov 2024,7,8,7,8,7,7.4,0.49,N/A,N/A,N/A
K,Claude Haiku 3.5,Anthropic Claude 3.5 New Nov 2024,9,9,9,8,9,8.8,0.4,N/A,N/A,N/A
L,Gemini,Anthropic Claude 3.5 New Nov 2024,8,8,8,7,8,7.8,0.4,N/A,N/A,N/A
M,Meta AI,Anthropic Claude 3.5 New Nov 2024,8,9,8,9,8,8.4,0.49,N/A,N/A,N/A
N,openAI o1-preview,Anthropic Claude 3.5 New Nov 2024,8,9,8,9,8,8.4,0.49,N/A,N/A,N/A
O,openAI o1-mini,Anthropic Claude 3.5 New Nov 2024,9,9,9,9,9,9,0,N/A,N/A,N/A
P,GPT-4o,Anthropic Claude 3.5 New Nov 2024,9,9,9,8,9,8.8,0.4,N/A,N/A,N/A