Title,Author,Year,Language,Extension,Size,Download Date,File Path
Being Adivasi,Abhay Xaxa;Ganesh N. Devy,2021,English,epub,592 Kb,2024-09-30 13:16:13,./downloads/Abhay Xaxa;Ganesh N Devy - Being Adivasi.epub
Being Adivasi,Abhay Xaxa;Ganesh N. Devy,2021,English,epub,592 Kb,2024-09-30 13:17:44,./downloads/Abhay Xaxa;Ganesh N Devy - Being Adivasi.epub
Being Adivasi,Abhay Xaxa;Ganesh N. Devy,2021,English,epub,592 Kb,2024-09-30 13:21:47,./downloads/Abhay Xaxa;Ganesh N Devy - Being Adivasi.epub
Free and Equal,Daniel Chandler,2023,English,epub,771 Kb,2024-09-30 13:22:44,./downloads/Daniel Chandler - Free and Equal.epub
Free and Equal. What Would a Fair Society Look Like,Daniel Chandler,2023,English,epub,771 Kb,2024-09-30 13:22:47,./downloads/Daniel Chandler - Free and Equal What Would a Fair Society Look Like.epub
Free and Equal : A Manifesto for a Just Society,Daniel Chandler;,2024,English,epub,820 Kb,2024-09-30 13:22:50,./downloads/Daniel Chandler; - Free and Equal A Manifesto for a Just Society.epub
A Dictionary of Media and Communication,"Chandler, Daniel;Munday, Rod;;Rod Munday",2019,English,epub,2 Mb,2024-09-30 13:23:28,"./downloads/Chandler, Daniel;Munday, Rod;;Rod Munday - A Dictionary of Media and Communication.epub"
Semiotics: The Basics,Daniel Chandler,,English,epub,1 Mb,2024-09-30 13:23:29,./downloads/Daniel Chandler - Semiotics The Basics.epub
On Language and Poetry: Three Essays,"Saussure, Ferdinand de;Yakubinsky, L. P",2018,English,epub,167 Kb,2024-09-30 13:23:42,"./downloads/Saussure, Ferdinand de;Yakubinsky, L P - On Language and Poetry Three Essays.epub"
Saussure,"Saussure, Ferdinand de;Joseph, John E",2012,English,epub,17 Mb,2024-09-30 13:32:47,"./downloads/Saussure, Ferdinand de;Joseph, John E - Saussure.epub"
Course in General Linguistics,"Baskin, Wade;Meisel, Perry;Saussure, Ferdinand de;Saussy, Haun",2011,English,epub,16 Mb,2024-09-30 13:40:20,"./downloads/Baskin, Wade;Meisel, Perry;Saussure, Ferdinand de;Saussy, Haun - Course in General Linguistics.epub"
Peirce,"Atkin, Albert;Peirce, Charles Sanders",2016,English,epub,2 Mb,2024-09-30 13:41:27,"./downloads/Atkin, Albert;Peirce, Charles Sanders - Peirce.epub"
Peirce: a guide for the perplexed,"Peirce, Charles S.;Peirce, Charles Sanders;De Waal, Cornelis",2013,English,epub,827 Kb,2024-09-30 13:41:33,"./downloads/Peirce, Charles S;Peirce, Charles Sanders;De Waal, Cornelis - Peirce a guide for the perplexed.epub"
Peirce on perception and reasoning from icons to logic,"Hull, Kathleen A.;Peirce, Charles Sanders",2017,English,epub,3 Mb,2024-09-30 13:41:38,"./downloads/Hull, Kathleen A;Peirce, Charles Sanders - Peirce on perception and reasoning from icons to logic.epub"
"The Politics of survival: Peirce, affectivity, and social criticism","Peirce, Charles Sanders;Trout, Lara",2013,English,epub,627 Kb,2024-09-30 13:41:48,"./downloads/Peirce, Charles Sanders;Trout, Lara - The Politics of survival Peirce, affectivity, and social criticism.epub"
Peirce-Arg Philosophers,"Peirce, Charles Sanders;Hookway, Christopher;Peirce, Charles Sanders",1999,English,epub,504 Kb,2024-09-30 13:41:58,"./downloads/Peirce, Charles Sanders;Hookway, Christopher;Peirce, Charles Sanders - Peirce-Arg Philosophers.epub"
"Chance, Love, and Logic: Philosophical Essays",Charles Sanders Peirce,1998,English,epub,642 Kb,2024-09-30 13:42:19,"./downloads/Charles Sanders Peirce - Chance, Love, and Logic Philosophical Essays.epub"
Illustrations of the Logic of Science,"de Waal, Cornelis;Peirce, Charles, Sanders",,English,epub,2 Mb,2024-09-30 13:43:24,"./downloads/de Waal, Cornelis;Peirce, Charles, Sanders - Illustrations of the Logic of Science.epub"
Collected Papers (Volumes 1-8),Charles Sanders Peirce,1994,English,epub,4 Mb,2024-09-30 13:45:06,./downloads/Charles Sanders Peirce - Collected Papers (Volumes 1-8).epub
"Aesthetic Transcendentalism in Emerson, Peirce, and Nineteenth-Century American Landscape Painting","Emerson, Ralph Waldo;Guardiano, Nicholas;Peirce, Charles S.;Peirce, Charles Sanders",2017,English,epub,10 Mb,2024-09-30 13:50:44,"./downloads/Emerson, Ralph Waldo;Guardiano, Nicholas;Peirce, Charles S;Peirce, Charles Sanders - Aesthetic Transcendentalism in Emerson, Peirce, and Nineteenth-Century American Landscape Painting.epub"
Mourning Diary,Roland Barthes,2010,English,epub,243 Kb,2024-09-30 13:50:58,./downloads/Roland Barthes - Mourning Diary.epub
Image-Music-Text,"Roland Barthes,Stephen Heath",1993,English,epub,1 Mb,2024-09-30 13:51:17,"./downloads/Roland Barthes,Stephen Heath - Image-Music-Text.epub"
The Limits of Interpretation (Advances in Semiotics),Umberto Eco,1991,English,epub,1 Mb,2024-09-30 13:51:51,./downloads/Umberto Eco - The Limits of Interpretation (Advances in Semiotics).epub
The Name of the Rose,Umberto Eco,1986,English,epub,887 Kb,2024-09-30 13:52:33,./downloads/Umberto Eco - The Name of the Rose.epub
Foucault's Pendulum,Umberto Eco,2007,English,epub,3 Mb,2024-09-30 13:52:35,./downloads/Umberto Eco - Foucault's Pendulum.epub
The Prague Cemetery,Umberto Eco,2011,English,epub,17 Mb,2024-09-30 13:59:42,./downloads/Umberto Eco - The Prague Cemetery.epub
Culture and Communication: Signs in Flux. An Anthology of Major and Lesser-Known Works,"Yuri Lotman,Andreas Schönle (editor)",2020,English,epub,857 Kb,2024-09-30 14:00:13,"./downloads/Yuri Lotman,Andreas Schönle (editor) - Culture and Communication Signs in Flux An Anthology of Major and Lesser-Known Works.epub"
Prolegomena to a Theory of Language,Louis Hjelmslev,1969,English,epub,204 Kb,2024-09-30 14:00:27,./downloads/Louis Hjelmslev - Prolegomena to a Theory of Language.epub
"Mallarmé and the politics of literature: Sartre, Kristeva, Badiou, Ranciere","Badiou, Alain;Boncardo, Robert;Kristeva, Julia;Mallarmé, Stéphane;Meillassoux, Quentin;Rancière, Jacques;Sartre, Jean-Paul",2019,English,epub,432 Kb,2024-09-30 14:00:51,"./downloads/Badiou, Alain;Boncardo, Robert;Kristeva, Julia;Mallarmé, Stéphane;Meillassoux, Quentin;Rancière, Jacques;Sartre, Jean-Paul - Mallarmé and the politics of literature Sartre, Kristeva, Badiou, Ranciere.epub"
Head cases : Julia Kristeva on philosophy and art in depressed times,"Kristeva, Julia;Kristeva, Julia;Miller, Elaine P",2014,English,epub,16 Mb,2024-09-30 14:06:59,"./downloads/Kristeva, Julia;Kristeva, Julia;Miller, Elaine P - Head cases Julia Kristeva on philosophy and art in depressed times.epub"
Kristeva's Fiction,"Kristeva, Julia;Kristeva, Julia;Trigo, Benigno",2013,English,epub,280 Kb,2024-09-30 14:07:04,"./downloads/Kristeva, Julia;Kristeva, Julia;Trigo, Benigno - Kristeva's Fiction.epub"
Marriage as a Fine Art,"Fox, Lorna Scott;Kristeva, Julia;Sollers, Philippe",2016,English,epub,2 Mb,2024-09-30 14:07:35,"./downloads/Fox, Lorna Scott;Kristeva, Julia;Sollers, Philippe - Marriage as a Fine Art.epub"
The Sense and Non-Sense of Revolt : the Powers and Limits of Psychoanalysis,"Kristeva, Julia;Herman, Jeanine","2012,2000",English,epub,2 Mb,2024-09-30 14:07:57,"./downloads/Kristeva, Julia;Herman, Jeanine - The Sense and Non-Sense of Revolt the Powers and Limits of Psychoanalysis.epub"
The Severed Head: Capital Visions,"Julia Kristeva,Jody Gladding",2011,English,epub,11 Mb,2024-09-30 14:15:22,"./downloads/Julia Kristeva,Jody Gladding - The Severed Head Capital Visions.epub"
Hatred and Forgiveness,"Herman, Jeanine;Kristeva, Julia",2012;2011,English,epub,20 Mb,2024-09-30 14:19:25,"./downloads/Herman, Jeanine;Kristeva, Julia - Hatred and Forgiveness.epub"
Passions of Our Time,"Borde, Constance;Kristeva, Julia;Malovany-Chevallier, Sheila",2019,English,epub,40 Mb,2024-09-30 14:21:51,"./downloads/Borde, Constance;Kristeva, Julia;Malovany-Chevallier, Sheila - Passions of Our Time.epub"
This Incredible Need to Believe,"Brahic, Beverley Bie;Kristeva, Julia",2011;2010,English,epub,15 Mb,2024-09-30 14:22:18,"./downloads/Brahic, Beverley Bie;Kristeva, Julia - This Incredible Need to Believe.epub"
Melanie Klein,"Kristeva,Julia",2001,English,epub,2 Mb,2024-09-30 14:23:31,"./downloads/Kristeva,Julia - Melanie Klein.epub"
The Portable Kristeva,"Kristeva, Julia;Oliver, Kelly",2011;2002,English,epub,16 Mb,2024-09-30 14:30:15,"./downloads/Kristeva, Julia;Oliver, Kelly - The Portable Kristeva.epub"
The interior landscape: classical Tamil love poems,"Ramanujan,A. K",2014,English,epub,419 Kb,2024-09-30 14:30:53,"./downloads/Ramanujan,A K - The interior landscape classical Tamil love poems.epub"
Speaking of Śiva,"Ramanujan,A. K",2013;1973,English,epub,2 Mb,2024-09-30 14:32:05,"./downloads/Ramanujan,A K - Speaking of Śiva.epub"
Journeys: A POET'S DIARY,A K Ramanujan,2019,English,epub,2 Mb,2024-09-30 14:32:12,./downloads/A K Ramanujan - Journeys A POET'S DIARY.epub
Hymns for the Drowning: Poems for Visnu,"Nammalvar,A. K. Ramanujan",2014,English,epub,3 Mb,2024-09-30 14:33:13,"./downloads/Nammalvar,A K Ramanujan - Hymns for the Drowning Poems for Visnu.epub"
Being Adivasi,Abhay Xaxa;Ganesh N. Devy,2021,English,epub,592 Kb,2024-09-30 14:33:39,./downloads/Abhay Xaxa;Ganesh N Devy - Being Adivasi.epub
Vision for a Nation: Paths and Perspectives,"Aakash Singh Rathore,Ashis Nandy",2019,English,epub,406 Kb,2024-09-30 14:34:07,"./downloads/Aakash Singh Rathore,Ashis Nandy - Vision for a Nation Paths and Perspectives.epub"
Of Grammatology: Fortieth Anniversary Edition,"Jacques Derrida (Author),Gayatri Chakravorty Spivak (Translator),Judith Butler (Foreword)",2016,English,epub,753 Kb,2024-09-30 14:34:42,"./downloads/Jacques Derrida (Author),Gayatri Chakravorty Spivak (Translator),Judith Butler (Foreword) - Of Grammatology Fortieth Anniversary Edition.epub"
In Other Worlds: Essays In Cultural Politics,Gayatri Chakravorty Spivak,2012,English,epub,2 Mb,2024-09-30 14:35:26,./downloads/Gayatri Chakravorty Spivak - In Other Worlds Essays In Cultural Politics.epub
Death of a Discipline,"Spivak,Gayatri Chakravorty",2003,English,epub,2 Mb,2024-09-30 14:36:31,"./downloads/Spivak,Gayatri Chakravorty - Death of a Discipline.epub"
Living Translation,Gayatri Chakravorty Spivak,2022,English,epub,4 Mb,2024-09-30 14:37:28,./downloads/Gayatri Chakravorty Spivak - Living Translation.epub
Can the subaltern speak? reflections on the history of an idea,"Morris, Rosalind C;Spivak, Gayatri Chakravorty",2010,English,epub,17 Mb,2024-09-30 14:49:35,"./downloads/Morris, Rosalind C;Spivak, Gayatri Chakravorty - Can the subaltern speak reflections on the history of an idea.epub"
The Location of Culture,Homi K. Bhabha,2004,English,epub,1 Mb,2024-09-30 14:50:29,./downloads/Homi K Bhabha - The Location of Culture.epub
Nation and Narration,Homi K. Bhabha,,English,epub,4 Mb,2024-09-30 14:55:28,./downloads/Homi K Bhabha - Nation and Narration.epub
The Indian Jungle: Psychoanalysis and Non-Western Civilizations,Sudhir Kakar,2024,English,epub,390 Kb,2024-09-30 14:55:47,./downloads/Sudhir Kakar - The Indian Jungle Psychoanalysis and Non-Western Civilizations.epub
Imaginations of Death and the Beyond in India and Europe,Günter Blamberger;Sudhir Kakar,2018,English,epub,3 Mb,2024-09-30 14:57:47,./downloads/Günter Blamberger;Sudhir Kakar - Imaginations of Death and the Beyond in India and Europe.epub
Ecstasy,"Kakar,Sudhir",2012;2014,English,epub,504 Kb,2024-09-30 14:57:59,"./downloads/Kakar,Sudhir - Ecstasy.epub"
Young Tagore: The Makings Of A Genius,Sudhir Kakar,2014,English,epub,2 Mb,2024-09-30 14:58:52,./downloads/Sudhir Kakar - Young Tagore The Makings Of A Genius.epub
A Book of memory: confessions and reflections,"Kakar,Sudhir",2014,English,epub,5 Mb,2024-09-30 14:59:14,"./downloads/Kakar,Sudhir - A Book of memory confessions and reflections.epub"
Analyst And The Mystic: Psychoaonalyitc Reflections On Religion And Mysticism,"Kakar,Sudhir",2013;2007,English,epub,918 Kb,2024-09-30 14:59:38,"./downloads/Kakar,Sudhir - Analyst And The Mystic Psychoaonalyitc Reflections On Religion And Mysticism.epub"
"Shamans, Mystics, and Doctors",Sudhir Kakar,2013,English,epub,1 Mb,2024-09-30 14:59:46,"./downloads/Sudhir Kakar - Shamans, Mystics, and Doctors.epub"
Intimate relations: exploring Indian sexuality,"Kakar.,Sudhir",2013;1991,English,epub,339 Kb,2024-09-30 14:59:56,"./downloads/Kakar,Sudhir - Intimate relations exploring Indian sexuality.epub"
On Dreams and Dreaming,Sudhir Kakar,2011,English,epub,300 Kb,2024-09-30 15:00:12,./downloads/Sudhir Kakar - On Dreams and Dreaming.epub
Indian Identity,"Kakar,Sudhir",2013;2007,English,epub,1 Mb,2024-09-30 15:00:17,"./downloads/Kakar,Sudhir - Indian Identity.epub"
On Creativity,"Blamberger, Günter;Kakar, Sudhir",2014;2015,English,epub,16 Mb,2024-09-30 15:03:43,"./downloads/Blamberger, Günter;Kakar, Sudhir - On Creativity.epub"
Culture and Psyche: Selected Essays,"Kakar,Sudhir",2008,English,epub,248 Kb,2024-09-30 15:03:46,"./downloads/Kakar,Sudhir - Culture and Psyche Selected Essays.epub"
Kamasutra,"Doniger, Wendy;Kakar, Sudhir;Vātsyāyana",2002;2003;2009,English,epub,17 Mb,2024-09-30 15:09:29,"./downloads/Doniger, Wendy;Kakar, Sudhir;Vātsyāyana - Kamasutra.epub"
Kamasutra (Oxford World’s Classics),"Mallanaga Vatsyayana,Wendy Doniger,Sudhir Kakar",2009,English,epub,17 Mb,2024-09-30 15:18:40,"./downloads/Mallanaga Vatsyayana,Wendy Doniger,Sudhir Kakar - Kamasutra (Oxford World’s Classics).epub"
The Great Regression,"Geiselberger, Heinrich;iek, Slavoj;Appadurai, Arjun",2017,English,epub,277 Kb,2024-09-30 15:19:03,"./downloads/Geiselberger, Heinrich;iek, Slavoj;Appadurai, Arjun - The Great Regression.epub"
Modernity At Large: Cultural Dimensions of Globalization (Public Worlds),Arjun Appadurai,2011,English,epub,336 Kb,2024-09-30 15:19:15,./downloads/Arjun Appadurai - Modernity At Large Cultural Dimensions of Globalization (Public Worlds).epub
The Social Life of Things: Commodities in Cultural Perspective,Arjun Appadurai,1986,English,epub,445 Kb,2024-09-30 15:19:29,./downloads/Arjun Appadurai - The Social Life of Things Commodities in Cultural Perspective.epub
"Gender, genre, and power in South Asian expressive traditions","Arjun Appadurai,Frank J. Korom,Margaret Ann Mills",1991,English,epub,1 Mb,2024-09-30 15:19:32,"./downloads/Arjun Appadurai,Frank J Korom,Margaret Ann Mills - Gender, genre, and power in South Asian expressive traditions.epub"
Globalization (a Public Culture book),Arjun Appadurai,2001,English,epub,2 Mb,2024-09-30 15:19:59,./downloads/Arjun Appadurai - Globalization (a Public Culture book).epub
Sex and Repression in Savage Society,Bronisław Malinowski,2003,English,epub,936 Kb,2024-09-30 15:20:31,./downloads/Bronisław Malinowski - Sex and Repression in Savage Society.epub
Race and History,Levi-Strauss Claude,,English,epub,248 Kb,2024-09-30 15:20:40,./downloads/Levi-Strauss Claude - Race and History.epub
Anthropologie structurale,Levi-Strauss Claude,,English,epub,1 Mb,2024-09-30 15:20:57,./downloads/Levi-Strauss Claude - Anthropologie structurale.epub
Nostalgia for the absolute,"Lévi-Strauss, Claude;Steiner, George;Freud, Sigmund;Marx, Karl",1997,English,epub,2 Mb,2024-09-30 15:21:45,"./downloads/Lévi-Strauss, Claude;Steiner, George;Freud, Sigmund;Marx, Karl - Nostalgia for the absolute.epub"
The Political System of the Anuak of the Anglo-Egyptian Sudan,E. E. Evans-Pritchard,1940,English,epub,9 Mb,2024-09-30 15:27:54,./downloads/E E Evans-Pritchard - The Political System of the Anuak of the Anglo-Egyptian Sudan.epub
"Saints, Heroes, Myths, and Rites: Classical Durkheimian Studies of Religion and Society",Marcel Mauss;Henri Hubert;Robert Hertz,2016,English,epub,493 Kb,2024-09-30 15:28:30,"./downloads/Marcel Mauss;Henri Hubert;Robert Hertz - Saints, Heroes, Myths, and Rites Classical Durkheimian Studies of Religion and Society.epub"
Seasonal Variations of the Eskimo A Study in Social Morphology,"Mauss, Marcel;Fox, James J",2013,English,epub,2 Mb,2024-09-30 15:29:02,"./downloads/Mauss, Marcel;Fox, James J - Seasonal Variations of the Eskimo A Study in Social Morphology.epub"
A General Theory of Magic,"Mauss,Marcel",2005;2010,English,epub,657 Kb,2024-09-30 15:29:03,"./downloads/Mauss,Marcel - A General Theory of Magic.epub"
Essay on the Gift: The Form and Sense of Exchange in Archaic Societies,Marcel Mauss;Giovanni da Col;Jane I. Guyer,2015,English,epub,993 Kb,2024-09-30 15:29:59,./downloads/Marcel Mauss;Giovanni da Col;Jane I Guyer - Essay on the Gift The Form and Sense of Exchange in Archaic Societies.epub
Coming of age in Samoa: a psychological study of primitive youth for Western civilization,"Mead,Margaret",2016;1961,English,epub,958 Kb,2024-09-30 15:30:42,"./downloads/Mead,Margaret - Coming of age in Samoa a psychological study of primitive youth for Western civilization.epub"
Coming of age: the sexual awakening of Margaret Mead,"Blum, Deborah;Mead, Margaret;Deborah Beatriz Blum",2017,English,epub,2 Mb,2024-09-30 15:31:50,"./downloads/Blum, Deborah;Mead, Margaret;Deborah Beatriz Blum - Coming of age the sexual awakening of Margaret Mead.epub"
Continuities in Cultural Evolution,"Margaret Mead,with introduction of Stephen Toulmin",1999,English,epub,2 Mb,2024-09-30 15:32:16,"./downloads/Margaret Mead,with introduction of Stephen Toulmin - Continuities in Cultural Evolution.epub"
Quest for the real Samoa: the Mead/Freeman controversy & beyond,"Freeman, Derek;Mead, Margaret;Holmes, Lowell Don",1987,English,epub,1 Mb,2024-09-30 15:33:45,"./downloads/Freeman, Derek;Mead, Margaret;Holmes, Lowell Don - Quest for the real Samoa the MeadFreeman controversy & beyond.epub"
Culture and Commitment: A Study of the Generation Gap,Margaret Mead,1970,English,epub,389 Kb,2024-09-30 15:33:57,./downloads/Margaret Mead - Culture and Commitment A Study of the Generation Gap.epub
Coming of age in Samoa; a psychological study of primitive youth for western civilisation,"Mead,Margaret,1901-1978",1928,English,epub,635 Kb,2024-09-30 15:34:25,"./downloads/Mead,Margaret,1901-1978 - Coming of age in Samoa; a psychological study of primitive youth for western civilisation.epub"
"New Lives for Old: Cultural Transformation—Manus, 1928-1953",Margaret Mead,2016,English,epub,8 Mb,2024-09-30 15:34:56,"./downloads/Margaret Mead - New Lives for Old Cultural Transformation—Manus, 1928-1953.epub"
"Letters from the Field, 1925-1975",Margaret Mead,2016,English,epub,15 Mb,2024-09-30 15:40:39,"./downloads/Margaret Mead - Letters from the Field, 1925-1975.epub"
CHRYSANTHEMUM AND THE SWORD: patterns of japanese culture,"Benedict,Ruth",2019,English,epub,468 Kb,2024-09-30 15:41:16,"./downloads/Benedict,Ruth - CHRYSANTHEMUM AND THE SWORD patterns of japanese culture.epub"
The Chrysanthemum and the Sword,Ruth Benedict,2006,English,epub,226 Kb,2024-09-30 15:41:21,./downloads/Ruth Benedict - The Chrysanthemum and the Sword.epub
An Anthropologist at Work,Ruth Benedict,2011,English,epub,1 Mb,2024-09-30 15:41:22,./downloads/Ruth Benedict - An Anthropologist at Work.epub
Patterns of Culture,"Benedict,Ruth",2005,English,epub,317 Kb,2024-09-30 15:41:30,"./downloads/Benedict,Ruth - Patterns of Culture.epub"
A Gendered Profession,James Benedict Brown;Harriet Harriss;Ruth Morrow;James Soane,2019,English,epub,4 Mb,2024-09-30 15:44:21,./downloads/James Benedict Brown;Harriet Harriss;Ruth Morrow;James Soane - A Gendered Profession.epub
Life among the Anthros and Other Essays,"Geertz, Clifford;Inglis, Fred",2012,English,epub,401 Kb,2024-09-30 15:44:43,"./downloads/Geertz, Clifford;Inglis, Fred - Life among the Anthros and Other Essays.epub"
Local knowledge: further essays in interpretive anthropology,"Geertz,Clifford",2000;2012,English,epub,676 Kb,2024-09-30 15:45:05,"./downloads/Geertz,Clifford - Local knowledge further essays in interpretive anthropology.epub"
The interpretation of cultures,Clifford Geertz,2008,English,epub,777 Kb,2024-09-30 15:45:08,./downloads/Clifford Geertz - The interpretation of cultures.epub
The Interpretation Of Cultures,Clifford Geertz,1977,English,epub,776 Kb,2024-09-30 15:45:35,./downloads/Clifford Geertz - The Interpretation Of Cultures.epub
The Interpretation of Cultures,"Geertz, Clifford;Darnton, Robert (FRW);Robert Darnton",2017,English,epub,2 Mb,2024-09-30 15:45:57,"./downloads/Geertz, Clifford;Darnton, Robert (FRW);Robert Darnton - The Interpretation of Cultures.epub"
The Religion of Java,Clifford Geertz,1976,English,epub,831 Kb,2024-09-30 15:45:58,./downloads/Clifford Geertz - The Religion of Java.epub
Available light: anthropological reflections on philosophical topics,"Geertz,Clifford",2001;2000,English,epub,1 Mb,2024-09-30 15:46:06,"./downloads/Geertz,Clifford - Available light anthropological reflections on philosophical topics.epub"
Risk and Acceptability,Mary Douglas,2013,English,epub,373 Kb,2024-09-30 15:46:30,./downloads/Mary Douglas - Risk and Acceptability.epub
Implicit Meanings,"Douglas,Mary.",2011,English,epub,1 Mb,2024-09-30 15:46:58,"./downloads/Douglas,Mary - Implicit Meanings.epub"
In Her Words : Critical Studies on Gloria Fuertes,Margaret H. Persin;Mary Makris;Jasmina Arsova;Mark Bajus;Catherine G. Bellver;Douglas K. Benson;Brenda Cappuccio;Elena Castro;Carys Evans-Corrales;Salvador J. Fajardo,2011,English,epub,444 Kb,2024-09-30 15:47:10,./downloads/Margaret H Persin;Mary Makris;Jasmina Arsova;Mark Bajus;Catherine G Bellver;Douglas K Benson;Brenda Cappuccio;Elena Castro;Carys Evans-Corrales;Salvador J Fajardo - In Her Words Critical Studies on Gloria Fuertes.epub
Essays on the Sociology of Perception,Mary Douglas,2013,English,epub,2 Mb,2024-09-30 15:49:19,./downloads/Mary Douglas - Essays on the Sociology of Perception.epub
Purity and danger: an analysis of concept of pollution and taboo,"Douglas,Professor Mary",2005,English,epub,2 Mb,2024-09-30 15:50:31,"./downloads/Douglas,Professor Mary - Purity and danger an analysis of concept of pollution and taboo.epub"
Naturals symbols: explorations in cosmology,"Douglas, Professor Mary;Douglas, Mary",2010,English,epub,2 Mb,2024-09-30 15:51:04,"./downloads/Douglas, Professor Mary;Douglas, Mary - Naturals symbols explorations in cosmology.epub"
Implicit Meanings: Selected Essays in Anthropology,Mary Douglas,1999,English,epub,1 Mb,2024-09-30 15:51:51,./downloads/Mary Douglas - Implicit Meanings Selected Essays in Anthropology.epub
Missing Persons: A Critique of Personhood in the Social Sciences,"Mary Douglas,Steven Ney",1998,English,epub,680 Kb,2024-09-30 15:51:59,"./downloads/Mary Douglas,Steven Ney - Missing Persons A Critique of Personhood in the Social Sciences.epub"
The Lele of the Kasai,Mary Douglas,2003,English,epub,2 Mb,2024-09-30 15:52:03,./downloads/Mary Douglas - The Lele of the Kasai.epub
Risk and Culture: An Essay on the Selection of Technological and Environmental Dangers,"Mary Douglas,Aaron Wildavsky",1983,English,epub,2 Mb,2024-09-30 15:53:06,"./downloads/Mary Douglas,Aaron Wildavsky - Risk and Culture An Essay on the Selection of Technological and Environmental Dangers.epub"
Food in the Social Order,"Douglas,Mary",,English,epub,5 Mb,2024-09-30 15:56:26,"./downloads/Douglas,Mary - Food in the Social Order.epub"
Ancestral passions: the Leakey family and the quest for humankind's beginnings,"Familie Leakey;Leakey, Louis Seymour Bazett;Leakey, Mary Douglas;Leakey, Richard E.;Morell, Virginia",1995,English,epub,5 Mb,2024-09-30 15:57:25,"./downloads/Familie Leakey;Leakey, Louis Seymour Bazett;Leakey, Mary Douglas;Leakey, Richard E;Morell, Virginia - Ancestral passions the Leakey family and the quest for humankind's beginnings.epub"
The Structural Study of Myth and Totemism,Edmund Leach,1967,English,epub,682 Kb,2024-09-30 18:14:53,./downloads/Edmund Leach - The Structural Study of Myth and Totemism.epub
Social Change in Modern India,M.N. Srinivas,2000,English,epub,402 Kb,2024-09-30 18:15:04,./downloads/MN Srinivas - Social Change in Modern India.epub
Choice and morality in anthropological perspective: essays in honor of Derek Freeman,"George N. Appell,T. N. Madan",1988,English,epub,611 Kb,2024-09-30 18:15:33,"./downloads/George N Appell,T N Madan - Choice and morality in anthropological perspective essays in honor of Derek Freeman.epub"
Truth About India: Can We Get It?,Verrier Elwin,2017,English,epub,176 Kb,2024-09-30 18:15:44,./downloads/Verrier Elwin - Truth About India Can We Get It.epub
Sunlight on the Garden,Andre Beteille,2012,English,epub,315 Kb,2024-09-30 18:16:05,./downloads/Andre Beteille - Sunlight on the Garden.epub
Slum Acts (After the Postcolonial),Veena Das,2022,English,epub,320 Kb,2024-09-30 18:16:27,./downloads/Veena Das - Slum Acts (After the Postcolonial).epub
Life and words violence and the descent into the ordinary,"Das, Veena;Cavell, Stanley",2007,English,epub,661 Kb,2024-09-30 18:16:28,"./downloads/Das, Veena;Cavell, Stanley - Life and words violence and the descent into the ordinary.epub"
