Title,Author,Year,Language,Extension,Size,Download Date,File Path
Ayya's Accounts : A Ledger of Hope in Modern India,Anand Pandian;M. P. Mariappan;Veena Das,2014,English,epub,3 Mb,2024-09-30 18:18:19,./downloads/Anand Pandian;M P Mariappan;Veena Das - Ayya's Accounts A Ledger of Hope in Modern India.epub
You Don’t Know Us Negroes and Other Essays,"Zora Neale Hurston,Henry Louis Gates Jr.,Genevieve West",2022,English,epub,1 Mb,2024-09-30 18:19:13,"./downloads/Zora Neale Hurston,Henry Louis Gates Jr,Genevieve West - You Don’t Know Us Negroes and Other Essays.epub"
"The ""Pet Negro"" system",Zora Neale Hurston,2019,English,epub,134 Kb,2024-09-30 18:19:15,./downloads/Zora Neale Hurston - The Pet Negro system.epub
I love myself when I am laughing ... and then again when I am looking mean and impressive: a Zora Neale Hurston reader,"Hurston, Zora Neale;Walker, Alice;Washington, Mary Helen",2020;2019,English,epub,2 Mb,2024-09-30 18:19:22,"./downloads/Hurston, Zora Neale;Walker, Alice;Washington, Mary Helen - I love myself when I am laughing and then again when I am looking mean and impressive a Zora Neale Hurston reader.epub"
"Barracoon: The Story of the Last ""Black Cargo""",Zora Neale Hurston;Deborah G. Plant (ed.),2018,English,epub,1 Mb,2024-09-30 18:19:48,./downloads/Zora Neale Hurston;Deborah G Plant (ed) - Barracoon The Story of the Last Black Cargo.epub
"Zora Neale Hurston on Florida food : recipes, remedies and simple pleasures","Hurston, Zora Neale;Opie, Frederick Douglass",2015,English,epub,3 Mb,2024-09-30 18:20:52,"./downloads/Hurston, Zora Neale;Opie, Frederick Douglass - Zora Neale Hurston on Florida food recipes, remedies and simple pleasures.epub"
Dust Tracks on a Road: An Autobiography,Zora Neale Hurston,2010,English,epub,964 Kb,2024-09-30 18:21:23,./downloads/Zora Neale Hurston - Dust Tracks on a Road An Autobiography.epub
Dust Tracks on a Road,"Zora Neale Hurston,Maya Angelou",1942,English,epub,483 Kb,2024-09-30 18:21:40,"./downloads/Zora Neale Hurston,Maya Angelou - Dust Tracks on a Road.epub"
Zora Neale Hurston: a life in letters,"Hurston, Zora Neale;Kaplan, Carla",2003;2007,English,epub,4 Mb,2024-09-30 18:23:22,"./downloads/Hurston, Zora Neale;Kaplan, Carla - Zora Neale Hurston a life in letters.epub"
Zora and Langston: a story of friendship and betrayal,"Hughes, Langston;Hurston, Zora Neale;Taylor, Yuval",2019,English,epub,15 Mb,2024-09-30 18:24:36,"./downloads/Hughes, Langston;Hurston, Zora Neale;Taylor, Yuval - Zora and Langston a story of friendship and betrayal.epub"
Half a Man - The Status of the Negro in New York - With a Forword by Franz Boas,Franz Boas;Mary White Ovington,2013,English,epub,176 Kb,2024-09-30 18:24:55,./downloads/Franz Boas;Mary White Ovington - Half a Man - The Status of the Negro in New York - With a Forword by Franz Boas.epub
Anthropology and Modern Life,"Boas,Franz",2012,English,epub,712 Kb,2024-09-30 18:25:54,"./downloads/Boas,Franz - Anthropology and Modern Life.epub"
Anthropology and Modern Life (Routledge Revivals),Franz Boas,1987,English,epub,454 Kb,2024-09-30 18:26:05,./downloads/Franz Boas - Anthropology and Modern Life (Routledge Revivals).epub
Franz Boas: the emergence of the anthropologist,"Germany;Boas, Franz;Zumwalt, Rosemary Lévy",2019,English,epub,3 Mb,2024-09-30 18:27:37,"./downloads/Germany;Boas, Franz;Zumwalt, Rosemary Lévy - Franz Boas the emergence of the anthropologist.epub"
A Wealth of Thought: Franz Boas on Native American Art,Franz Boas,2017,English,epub,30 Mb,2024-09-30 18:39:27,./downloads/Franz Boas - A Wealth of Thought Franz Boas on Native American Art.epub
All in a Garden Green,Paul J. Willis,2020,English,epub,2 Mb,2024-09-30 18:40:44,./downloads/Paul J Willis - All in a Garden Green.epub
The Battle of the Nile: A Ladybird Expert Book,"Sam Willis,Paul Young (illustrator)",2019,English,epub,17 Mb,2024-09-30 18:52:53,"./downloads/Sam Willis,Paul Young (illustrator) - The Battle of the Nile A Ladybird Expert Book.epub"
Profane culture,"Paul E Willis,Paul E Willis",2014,English,epub,2 Mb,2024-09-30 18:55:46,"./downloads/Paul E Willis,Paul E Willis - Profane culture.epub"
"Bite by Bite: American History Through Feasts, Foods, and Side Dishes",Marc Aronson;Paul Freedman;Frederick Douglass Opie;Amanda Palacios;Tatum Willis;David Zheng,2024,English,epub,24 Mb,2024-09-30 18:55:50,"./downloads/Marc Aronson;Paul Freedman;Frederick Douglass Opie;Amanda Palacios;Tatum Willis;David Zheng - Bite by Bite American History Through Feasts, Foods, and Side Dishes.epub"
Measuring the Effectiveness of Border Security Between Ports-of-Entry : Security Between Ports-of-Entry,Henry H. Willis;Joel B. Predd;Paul K. Davis;Wayne P Brown,2010,English,epub,2 Mb,2024-09-30 18:57:52,./downloads/Henry H Willis;Joel B Predd;Paul K Davis;Wayne P Brown - Measuring the Effectiveness of Border Security Between Ports-of-Entry Security Between Ports-of-Entry.epub
Battle of Trafalgar,"Sam Willis,Paul Young (illustrator)",2019,English,epub,17 Mb,2024-09-30 19:02:34,"./downloads/Sam Willis,Paul Young (illustrator) - Battle of Trafalgar.epub"
Conversations with Bourdieu: the Johannesburg moment,"Burawoy, Michael;Von Holdt, $b Karl",2012,English,epub,444 Kb,2024-09-30 19:03:20,"./downloads/Burawoy, Michael;Von Holdt, $b Karl - Conversations with Bourdieu the Johannesburg moment.epub"
Uncertain Transition: ethnographies of change in the postsocialist world,"Michael Burawoy,Katherine Verdery",1999,English,epub,686 Kb,2024-09-30 19:03:37,"./downloads/Michael Burawoy,Katherine Verdery - Uncertain Transition ethnographies of change in the postsocialist world.epub"
Engaging Erik Olin Wright: Between Class Analysis and Real Utopias,"Michael Burawoy,Gay Seidman (eds.)",2024,English,epub,1 Mb,2024-09-30 19:03:58,"./downloads/Michael Burawoy,Gay Seidman (eds) - Engaging Erik Olin Wright Between Class Analysis and Real Utopias.epub"
Commodifying Bodies,"Nancy Scheper-Hughes,Loïc Wacquant",2002,English,epub,547 Kb,2024-09-30 19:04:18,"./downloads/Nancy Scheper-Hughes,Loïc Wacquant - Commodifying Bodies.epub"
The Soft Vengeance of a Freedom Fighter,Albie Sachs;Archbishop Desmond Tutu;Nancy Scheper-Hughes,2014,English,epub,1 Mb,2024-09-30 19:04:32,./downloads/Albie Sachs;Archbishop Desmond Tutu;Nancy Scheper-Hughes - The Soft Vengeance of a Freedom Fighter.epub
The Saving Lie: Truth and Method in the Social Sciences,F. G. Bailey,2013,English,epub,401 Kb,2024-09-30 19:05:05,./downloads/F G Bailey - The Saving Lie Truth and Method in the Social Sciences.epub
Mothers in Poverty: A Study of Fatherless Families,F. G. Bailey,2017,English,epub,8 Mb,2024-09-30 19:10:36,./downloads/F G Bailey - Mothers in Poverty A Study of Fatherless Families.epub
Dream Psychology,Freud Sigmund,,English,epub,140 Kb,2024-09-30 19:10:46,./downloads/Freud Sigmund - Dream Psychology.epub
Leonardo da Vinci,Freud Sigmund,,English,epub,293 Kb,2024-09-30 19:10:46,./downloads/Freud Sigmund - Leonardo da Vinci.epub
Three Contributions to the Theory of Sex,Freud Sigmund,,English,epub,125 Kb,2024-09-30 19:10:47,./downloads/Freud Sigmund - Three Contributions to the Theory of Sex.epub
Carl Gustav Jung,"Jung, Carl Gustav;Casement, Ann;Jung, Jung Carl Gustav",2001,English,epub,547 Kb,2024-09-30 19:11:11,"./downloads/Jung, Carl Gustav;Casement, Ann;Jung, Jung Carl Gustav - Carl Gustav Jung.epub"
Introduction to Jungian psychology : notes of the seminar on analytical psychology given in 1925,"Jung, Carl Gustav;Shamdasani, Sonu;McGuire, William;Jung, Carl Gustav",2012,English,epub,2 Mb,2024-09-30 19:12:02,"./downloads/Jung, Carl Gustav;Shamdasani, Sonu;McGuire, William;Jung, Carl Gustav - Introduction to Jungian psychology notes of the seminar on analytical psychology given in 1925.epub"
Psychogenesis of Mental Disease,"Hull, Richard Francis Carrington;Jung, Carl Gustav",1982,English,epub,844 Kb,2024-09-30 19:12:17,"./downloads/Hull, Richard Francis Carrington;Jung, Carl Gustav - Psychogenesis of Mental Disease.epub"
"Collected Works of C.G. Jung, Volume 1: Psychiatric Studies","Adler, Gerhard;Hull, Richard Francis Carrington;Jung, Carl Gustav",1970,English,epub,1 Mb,2024-09-30 19:12:52,"./downloads/Adler, Gerhard;Hull, Richard Francis Carrington;Jung, Carl Gustav - Collected Works of CG Jung, Volume 1 Psychiatric Studies.epub"
Madness and creativity,"Rosen, David H.;Jung, Carl Gustav;Ulanov, Ann Belford",2013,English,epub,3 Mb,2024-09-30 19:13:16,"./downloads/Rosen, David H;Jung, Carl Gustav;Ulanov, Ann Belford - Madness and creativity.epub"
Psychiatric studies,"Adler, Gerhard;Hull, Richard Francis Carrington;Jung, Carl Gustav",1970,English,epub,1 Mb,2024-09-30 19:13:25,"./downloads/Adler, Gerhard;Hull, Richard Francis Carrington;Jung, Carl Gustav - Psychiatric studies.epub"
Two essays on analytical psychology,"Adler, Gerhard;Hull, Richard Francis Carrington;Jung, Carl Gustav",1966,English,epub,972 Kb,2024-09-30 19:13:46,"./downloads/Adler, Gerhard;Hull, Richard Francis Carrington;Jung, Carl Gustav - Two essays on analytical psychology.epub"
Jung and the alchemical imagination,"Jung, Carl Gustav;Raff, Jeffrey;Jung, Carl Gustav",2000,English,epub,6 Mb,2024-09-30 19:13:54,"./downloads/Jung, Carl Gustav;Raff, Jeffrey;Jung, Carl Gustav - Jung and the alchemical imagination.epub"
Analytical psychology : notes of the seminar given in 1925,"McGuire, William;Jung, Carl Gustav",1925,English,epub,2 Mb,2024-09-30 19:14:38,"./downloads/McGuire, William;Jung, Carl Gustav - Analytical psychology notes of the seminar given in 1925.epub"
Freud and psychoanalysis,"Adler, Gerhard;Freud, Sigmund;Hull, Richard Francis Carrington;Jung, Carl Gustav",1961,English,epub,2 Mb,2024-09-30 19:15:29,"./downloads/Adler, Gerhard;Freud, Sigmund;Hull, Richard Francis Carrington;Jung, Carl Gustav - Freud and psychoanalysis.epub"
Man and His Symbols,Carl Gustav Jung,1968,English,epub,15 Mb,2024-09-30 19:34:29,./downloads/Carl Gustav Jung - Man and His Symbols.epub
Science and Human Behavior,"Skinner,B. F",2014,English,epub,860 Kb,2024-09-30 19:35:08,"./downloads/Skinner,B F - Science and Human Behavior.epub"
Verbal Behavior,B. F. Skinner,2013,English,epub,1 Mb,2024-09-30 19:35:21,./downloads/B F Skinner - Verbal Behavior.epub
Beyond Freedom and Dignity,B.F. Skinner,2011,English,epub,800 Kb,2024-09-30 19:35:21,./downloads/BF Skinner - Beyond Freedom and Dignity.epub
"Walden Two, including Walden Two Revisited",B. F. Skinner,2005,English,epub,381 Kb,2024-09-30 19:35:31,"./downloads/B F Skinner - Walden Two, including Walden Two Revisited.epub"
Walden Two Follow-Up. News From Nowhere,"B. F. Skinner,Los Horcones","1985, 1986",English,epub,236 Kb,2024-09-30 19:35:31,"./downloads/B F Skinner,Los Horcones - Walden Two Follow-Up News From Nowhere.epub"
Science and human behavior,B. F. Skinner,1965,English,epub,441 Kb,2024-09-30 19:35:41,./downloads/B F Skinner - Science and human behavior.epub
About Behaviorism,B. F. Skinner,1974,English,epub,2 Mb,2024-09-30 19:36:25,./downloads/B F Skinner - About Behaviorism.epub
The Technology of Teaching,B. F. Skinner,2016,English,epub,2 Mb,2024-09-30 19:37:36,./downloads/B F Skinner - The Technology of Teaching.epub
"Child's Conception of the World: Selected Works vol 1: ""the Child's Conception of the World"" (1929) Vol X",Jean Piaget,2013,English,epub,434 Kb,2024-09-30 19:37:49,./downloads/Jean Piaget - Child's Conception of the World Selected Works vol 1 the Child's Conception of the World (1929) Vol X.epub
The Psychology Of The Child,Jean Piaget,1969,English,epub,6 Mb,2024-09-30 19:45:35,./downloads/Jean Piaget - The Psychology Of The Child.epub
A Therapist's View Of Personal Goals,Carl R. Rogers,2020,English,epub,327 Kb,2024-09-30 19:45:50,./downloads/Carl R Rogers - A Therapist's View Of Personal Goals.epub
On Becoming an Effective Teacher,Carl R Rogers;Harold C Lyon;Reinhard Tausch;,2014,English,epub,922 Kb,2024-09-30 19:46:08,./downloads/Carl R Rogers;Harold C Lyon;Reinhard Tausch; - On Becoming an Effective Teacher.epub
"Client-Centered Therapy: Its Current Practice, Implications, and Theory",Carl Rogers,2021,English,epub,966 Kb,2024-09-30 19:46:12,"./downloads/Carl Rogers - Client-Centered Therapy Its Current Practice, Implications, and Theory.epub"
On becoming a person: a therapist's view of psychotherapy,"Rogers,Carl",2012,English,epub,1 Mb,2024-09-30 19:46:20,"./downloads/Rogers,Carl - On becoming a person a therapist's view of psychotherapy.epub"
Client Centred Therapy (New Ed),Carl R. Rogers,2012,English,epub,905 Kb,2024-09-30 19:46:30,./downloads/Carl R Rogers - Client Centred Therapy (New Ed).epub
On Becoming a Person: A Therapist’s View of Psychotherapy,Carl Rogers,1995,English,epub,800 Kb,2024-09-30 19:46:33,./downloads/Carl Rogers - On Becoming a Person A Therapist’s View of Psychotherapy.epub
A Way of Being,Carl Rogers,1980,English,epub,979 Kb,2024-09-30 19:46:53,./downloads/Carl Rogers - A Way of Being.epub
Essays in Radical Empiricism,James William,,English,epub,179 Kb,2024-09-30 19:47:08,./downloads/James William - Essays in Radical Empiricism.epub
The Will to Believe and Other Essays in Popular Philosophy,James William,,English,epub,265 Kb,2024-09-30 19:47:16,./downloads/James William - The Will to Believe and Other Essays in Popular Philosophy.epub
A Pluralistic Universe,James William,,English,epub,199 Kb,2024-09-30 19:47:17,./downloads/James William - A Pluralistic Universe.epub
Varieties of Religious Experience,James William,,English,epub,457 Kb,2024-09-30 19:47:25,./downloads/James William - Varieties of Religious Experience.epub
Mind in Society: The Development of Higher Psychological Processes,"Lev S. Vygotsky,L. S. Vygotsky",1980,English,epub,617 Kb,2024-09-30 19:47:44,"./downloads/Lev S Vygotsky,L S Vygotsky - Mind in Society The Development of Higher Psychological Processes.epub"
The Neurotic Constitution: Outlines of a Comparative Individualistic Psychology and Psychotherapy,"Adler,Alfred",2013,English,epub,638 Kb,2024-09-30 19:48:22,"./downloads/Adler,Alfred - The Neurotic Constitution Outlines of a Comparative Individualistic Psychology and Psychotherapy.epub"
The Case of Miss R. (Psychology Revivals) : The Interpretation of a Life Story,Alfred Adler,2013,English,epub,403 Kb,2024-09-30 19:48:32,./downloads/Alfred Adler - The Case of Miss R (Psychology Revivals) The Interpretation of a Life Story.epub
The Science of Living,"Adler,Alfred",2013,English,epub,1 Mb,2024-09-30 19:48:32,"./downloads/Adler,Alfred - The Science of Living.epub"
"The Collected Clinical Works of Alfred Adler, Volume 2 - Journal Articles: 1898-1909",Alfred Adler,2011,English,epub,344 Kb,2024-09-30 19:48:39,"./downloads/Alfred Adler - The Collected Clinical Works of Alfred Adler, Volume 2 - Journal Articles 1898-1909.epub"
"The courage to be disliked: how to free yourself, change your life and achieve real happiness","Adler, Alfred;Kishimi, Ichirō;Koga, Fumitake",2018;2017,English,epub,2 Mb,2024-09-30 19:48:44,"./downloads/Adler, Alfred;Kishimi, Ichirō;Koga, Fumitake - The courage to be disliked how to free yourself, change your life and achieve real happiness.epub"
"The Collected Clinical Works of Alfred Adler, Volume 1: The Neurotic Character",Alfred Adler,2011,English,epub,509 Kb,2024-09-30 19:48:50,"./downloads/Alfred Adler - The Collected Clinical Works of Alfred Adler, Volume 1 The Neurotic Character.epub"
Guiding the Child (Psychology Revivals) : On the Principles of Individual Psychology,Alfred Adler,2013,English,epub,205 Kb,2024-09-30 19:48:52,./downloads/Alfred Adler - Guiding the Child (Psychology Revivals) On the Principles of Individual Psychology.epub
"The Collected Clinical Works of Alfred Adler, Volume 4 - Journal Articles: 1914-1920",Alfred Adler,2011,English,epub,367 Kb,2024-09-30 19:48:59,"./downloads/Alfred Adler - The Collected Clinical Works of Alfred Adler, Volume 4 - Journal Articles 1914-1920.epub"
"The Collected Clinical Works of Alfred Adler, Volume 3 - Journal Articles: 1910-1913",Alfred Adler,2011,English,epub,350 Kb,2024-09-30 19:48:59,"./downloads/Alfred Adler - The Collected Clinical Works of Alfred Adler, Volume 3 - Journal Articles 1910-1913.epub"
"The Collected Clinical Works of Alfred Adler, Volume 6 - Journal Articles: 1927-1931",Alfred Adler,2011,English,epub,342 Kb,2024-09-30 19:49:02,"./downloads/Alfred Adler - The Collected Clinical Works of Alfred Adler, Volume 6 - Journal Articles 1927-1931.epub"
"The Collected Clinical Works of Alfred Adler, Volume 7 - Journal Articles: 1931-1937",Alfred Adler,2011,English,epub,400 Kb,2024-09-30 19:49:05,"./downloads/Alfred Adler - The Collected Clinical Works of Alfred Adler, Volume 7 - Journal Articles 1931-1937.epub"
"The Collected Clinical Works of Alfred Adler, Volume 5 - Journal Articles: 1921-1926",Alfred Adler,2011,English,epub,376 Kb,2024-09-30 19:49:07,"./downloads/Alfred Adler - The Collected Clinical Works of Alfred Adler, Volume 5 - Journal Articles 1921-1926.epub"
"The Collected Clinical Works of Alfred Adler, Volume 9 - Case Histories: Problems of Neurosis",Alfred Adler,2011,English,epub,402 Kb,2024-09-30 19:49:12,"./downloads/Alfred Adler - The Collected Clinical Works of Alfred Adler, Volume 9 - Case Histories Problems of Neurosis.epub"
"The Collected Clinical Works of Alfred Adler, Volume 10: Case Readings and Demonstrations",Alfred Adler,2008,English,epub,367 Kb,2024-09-30 19:49:14,"./downloads/Alfred Adler - The Collected Clinical Works of Alfred Adler, Volume 10 Case Readings and Demonstrations.epub"
Understanding Human Nature: The Psychology of Personality,Alfred Adler,2009,English,epub,477 Kb,2024-09-30 19:49:16,./downloads/Alfred Adler - Understanding Human Nature The Psychology of Personality.epub
Understanding Human Nature,"Adler,Alfred",,English,epub,1 Mb,2024-09-30 19:49:51,"./downloads/Adler,Alfred - Understanding Human Nature.epub"
A Theory of Human Motivation,"Maslow,Abraham H",2017,English,epub,2 Mb,2024-09-30 19:51:00,"./downloads/Maslow,Abraham H - A Theory of Human Motivation.epub"
Toward a Psychology of Being,"Maslow,Abraham H",2013,English,epub,246 Kb,2024-09-30 19:51:05,"./downloads/Maslow,Abraham H - Toward a Psychology of Being.epub"
Motivation and Personality,Abraham Harold Maslow,2024,English,epub,3 Mb,2024-09-30 19:51:07,./downloads/Abraham Harold Maslow - Motivation and Personality.epub
The Psychology of Science - A Reconnaissance,Abraham Maslow,2024,English,epub,3 Mb,2024-09-30 19:51:59,./downloads/Abraham Maslow - The Psychology of Science - A Reconnaissance.epub
Identity: youth and crisis,"Erikson,Erik Homburger",2013;1994,English,epub,600 Kb,2024-09-30 19:52:20,"./downloads/Erikson,Erik Homburger - Identity youth and crisis.epub"
Insight and responsibility: lectures on the ethical implications of psychoanalytic insight,"Erikson,Erik Homburger",2013;2008,English,epub,765 Kb,2024-09-30 19:52:36,"./downloads/Erikson,Erik Homburger - Insight and responsibility lectures on the ethical implications of psychoanalytic insight.epub"
The Life Cycle Completed,"Erikson, Erik Homburger;Erikson, Joan Mowat",2013;1997,English,epub,510 Kb,2024-09-30 19:52:44,"./downloads/Erikson, Erik Homburger;Erikson, Joan Mowat - The Life Cycle Completed.epub"
The life cycle completed,"Erikson, Erik Homburger;Erikson, Joan Mowat",1997,English,epub,510 Kb,2024-09-30 19:52:56,"./downloads/Erikson, Erik Homburger;Erikson, Joan Mowat - The life cycle completed.epub"
Dimensions of a New Identity,"Jefferson, Thomas;Erikson, Erik Homburger",2013;1974,English,epub,560 Kb,2024-09-30 19:53:00,"./downloads/Jefferson, Thomas;Erikson, Erik Homburger - Dimensions of a New Identity.epub"
Vital Involvement in Old Age,Erik H. Erikson;Joan M. Erikson;Helen Q. Kivnick,1994,English,epub,834 Kb,2024-09-30 19:53:25,./downloads/Erik H Erikson;Joan M Erikson;Helen Q Kivnick - Vital Involvement in Old Age.epub
Childhood and Society,"Erikson,Erik Homburger",2013;1993,English,epub,1 Mb,2024-09-30 19:53:41,"./downloads/Erikson,Erik Homburger - Childhood and Society.epub"
Young man Luther: a study in psychoanalysis and history,"Erikson, Erik Homburger;Luther, Martin",1993,English,epub,581 Kb,2024-09-30 19:53:48,"./downloads/Erikson, Erik Homburger;Luther, Martin - Young man Luther a study in psychoanalysis and history.epub"
Life History and the Historical Moment,"Erikson,Erik Homburger",1975;1991,English,epub,919 Kb,2024-09-30 19:53:52,"./downloads/Erikson,Erik Homburger - Life History and the Historical Moment.epub"
Toys and Reasons: Stages in the Ritualization of Experience,Erik H. Erikson,1977,English,epub,743 Kb,2024-09-30 19:54:08,./downloads/Erik H Erikson - Toys and Reasons Stages in the Ritualization of Experience.epub
Gandhi's truth : on the origins of militant nonviolence,"Erikson, Erik Homburger;Gandhi, Mohandas Karamchand;Gandhi",1993,English,epub,502 Kb,2024-09-30 19:54:14,"./downloads/Erikson, Erik Homburger;Gandhi, Mohandas Karamchand;Gandhi - Gandhi's truth on the origins of militant nonviolence.epub"
Erik Erikson - Identity and the Life Cycle,Erik Erikson,,English,epub,4 Mb,2024-09-30 19:55:27,./downloads/Erik Erikson - Erik Erikson - Identity and the Life Cycle.epub
Psychology for India,Durganand Sinha;Girishwar Misra;Ajit K. Dalal,2015,English,epub,902 Kb,2024-09-30 19:56:07,./downloads/Durganand Sinha;Girishwar Misra;Ajit K Dalal - Psychology for India.epub
New Directions in Health Psychology,"Dalal, Ajit K.;Misra, Girishwar",2012;2016,English,epub,956 Kb,2024-09-30 19:56:38,"./downloads/Dalal, Ajit K;Misra, Girishwar - New Directions in Health Psychology.epub"
Psychology for India,Durganand Sinha;Girishwar Misra;Ajit K. Dalal,2015,English,epub,902 Kb,2024-09-30 19:56:47,./downloads/Durganand Sinha;Girishwar Misra;Ajit K Dalal - Psychology for India.epub
"Cultural Psychology of Health in India: Well-being, Medicine and Traditional Health Care","Dalal,Ajit K",,English,epub,1 Mb,2024-09-30 19:56:51,"./downloads/Dalal,Ajit K - Cultural Psychology of Health in India Well-being, Medicine and Traditional Health Care.epub"
Qualitative Inquiry in the Public Sphere,"Norman K. Denzin,Michael D. Giardina",2021,English,epub,1 Mb,2024-09-30 19:57:31,"./downloads/Norman K Denzin,Michael D Giardina - Qualitative Inquiry in the Public Sphere.epub"
Sociology of Law,"Norman K. Denzin,Georges Gurvitch",2020,English,epub,573 Kb,2024-09-30 19:57:42,"./downloads/Norman K Denzin,Georges Gurvitch - Sociology of Law.epub"
Radical Interactionism and Critiques of Contemporary Culture,Norman K Denzin,2021,English,epub,561 Kb,2024-09-30 19:57:56,./downloads/Norman K Denzin - Radical Interactionism and Critiques of Contemporary Culture.epub
The Qualitative Manifesto,"Denzin, Norman K.;",2019,English,epub,359 Kb,2024-09-30 19:58:07,"./downloads/Denzin, Norman K; - The Qualitative Manifesto.epub"
"Oppression and Resistance : Structure, Agency, Transformation",Gil Richard Musolf;Norman K. Denzin,2017,English,epub,499 Kb,2024-09-30 19:58:36,"./downloads/Gil Richard Musolf;Norman K Denzin - Oppression and Resistance Structure, Agency, Transformation.epub"
Carl J. Couch and the Iowa School : In His Own Words and in Reflection,Michael A. Katovich;Norman K. Denzin,2017,English,epub,503 Kb,2024-09-30 19:58:50,./downloads/Michael A Katovich;Norman K Denzin - Carl J Couch and the Iowa School In His Own Words and in Reflection.epub
"Indians on Display: Global Commodification of Native America in Performance, Art, and Museums",Norman K Denzin,2016,English,epub,2 Mb,2024-09-30 20:00:03,"./downloads/Norman K Denzin - Indians on Display Global Commodification of Native America in Performance, Art, and Museums.epub"
Indians in Color,Norman K Denzin,2015,English,epub,3 Mb,2024-09-30 20:02:43,./downloads/Norman K Denzin - Indians in Color.epub
The SAGE Handbook of Qualitative Research,"Norman K. Denzin (editor),Yvonna S. Lincoln (editor),Michael Donald Giardina (editor),Gaile S. Cannella (editor)",2023,English,epub,13 Mb,2024-09-30 20:03:54,"./downloads/Norman K Denzin (editor),Yvonna S Lincoln (editor),Michael Donald Giardina (editor),Gaile S Cannella (editor) - The SAGE Handbook of Qualitative Research.epub"
40th Anniversary of Studies in Symbolic Interaction,Norman K. Denzin (ed.),2013,English,epub,4 Mb,2024-09-30 20:04:01,./downloads/Norman K Denzin (ed) - 40th Anniversary of Studies in Symbolic Interaction.epub
Qualitative Inquiry and the Politics of Advocacy,"Norman K Denzin,Michael D Giardina",2012,English,epub,2 Mb,2024-09-30 20:05:10,"./downloads/Norman K Denzin,Michael D Giardina - Qualitative Inquiry and the Politics of Advocacy.epub"
Social Psychology,Alfred R. Lindesmith;Anselm Strauss;Norman K. Denzin,1999,English,epub,3 Mb,2024-09-30 20:06:26,./downloads/Alfred R Lindesmith;Anselm Strauss;Norman K Denzin - Social Psychology.epub
